query,label
Read me the latest headlines,News
Give me the top news stories,News
Give me the latest celebrity news,News
Give me the breaking news headlines,News
What's the latest news update?,News
Give me the latest celebrity gossip,News
Give me the latest science discoveries,News
Tell me the latest travel destinations,News
Read me the latest sports news,News
Give me the latest music news,News
Read me the latest news,News
Tell me the latest fashion news,News
Give me the latest music releases,News
Tell me the latest sports scores,News
What's the current pollen count?,Weather
What should I wear today?,Weather
What's the forecast for the next week?,Weather
What's the wind chill factor tomorrow in Fahrenheit?,Weather
Is it going to rain today?,Weather
what is the weather today in Pyeongtaek,Weather
what is the weather in Pyeongtaek,Weather
What's the forecast for today?,Weather
Is it going to be sunny today?,Weather
What's the heat index tomorrow in Celsius?,Weather
What's the chance of snow tomorrow?,Weather
What's the sunrise time today?,Weather
What's the weather like today?,Weather
Is it going to be a sunny day?,Weather
Where can I find the weather forecast for the next week?,Weather
What's the current chance of rain?,Weather
What's the current snow depth?,Weather
What's the UV index tomorrow on a scale from 1 to 10?,Weather
How does the weather look for tomorrow?,Weather
What's the weather like right now?,Weather
What's the chance of rain tomorrow?,Weather
What's the weather like tomorrow?,Weather
What's the current UV index?,Weather
What will the weather be like tomorrow?,Weather
What's the current air pressure in millibars?,Weather
What's the current temperature in Kelvin?,Weather
What's the potential for severe weather today?,Weather
Should I carry an umbrella today?,Weather
What's the current temperature outside?,Weather
Is there a chance of thunderstorms today?,Weather
What's the current dew point in degrees Celsius?,Weather
What's the sunset time today?,Weather
What's the UV index today?,Weather
search google for the weather in el paso tomorrow,Weather
Should I bring an umbrella tomorrow?,Weather
Check the current traffic conditions on the I-95 highway,Search
Whats the live score of the New York Yankees baseball game,Search
Find the current stock price of Tesla Inc,Search
Check the status of flight AA 202 from New York to London,Search
What are the latest COVID-19 travel restrictions for traveling to Japan,Search
Find the current exchange rate between the British Pound and the Japanese Yen,Search
Whats the air quality index in Beijing right now,Search
Check the real-time price of Bitcoin,Search
Look up the current wait times at Disneyland,Search
What are the trending topics on Twitter right now,Search
Find the latest updates on the ongoing political election results,Search
What is the current level of the Nile River in Cairo,Search
Search for the latest traffic regulations in downtown Berlin,Search
Look up live updates on the ongoing tennis match at Wimbledon,Search
Check the current sea conditions for sailing in the Caribbean,Search
What are the latest gold prices per ounce today,Search
Find the current time and temperature in Sydney Australia,Search
Search for the latest sports car models released by Ferrari,Search
Find the current opening hours of the British Museum in London,Search
Check the next available appointment at the U.S. embassy in Berlin,Search
What is the current status of the International Space Station,Search
Find the departure times for trains from Paris to Rome today,Search
Check the current status of the Tokyo Stock Exchange,Search
What are the latest visa requirements for tourists visiting Australia,Search
Find the schedule for upcoming space launches by NASA,Search
Check the live status of the London Underground service,Search
What is the current occupancy rate of hotels in Dubai,Search
Search for the next lunar eclipse visible in North America,Search
Find the current interest rates for savings accounts in major U.S. banks,Search
Check the availability of tickets for the Broadway show Hamilton for next weekend,Search
What are the latest advancements in solar energy technology,Search
Find the current rankings in mens professional tennis,Search
Check the status of international shipping lanes in the Mediterranean Sea,Search
What is the current population of New York City,Search
Current time in kentucky,Search
Current time in new york,Search
Search for the latest innovations in smartphone technology,Search
Find the status of major airports in Europe due to weather conditions,Search
Check the availability of electric vehicle charging stations in downtown Chicago,Search
Who is the current speaker of the house,Search
Check the current status of flight AA280,Search
Find the latest updates on international trade agreements,Search
Check the current wait times at the Louvre Museum,Search
What are the entry requirements for hiking in the National Parks of Canada,Search
Search for the next total solar eclipse dates,Search
Find the latest developments in artificial intelligence research,Search
Check the live status of the New York Stock Exchange,Search
What is the current bestselling novel in the UK,Search
Search for the latest trends in virtual reality gaming,Search
Find the next scheduled international cricket matches,Search
Check the status of the Trans-European Rail network,Search
What is the current exchange rate for Euro to Japanese Yen,Search
Search for the latest models of hybrid cars available in Europe,Search
Find the current schedule of Broadway shows in New York,Search
Check the live waiting times at Universal Studios Orlando,Search
What are the latest findings in climate change research,Search
Search for the current trends in fashion in Milan,Search
Find the schedule of the upcoming film festivals,Search
Check the status of the Great Barrier Reef conservation efforts,Search
What is the current water level of the River Thames in London,Search
What is the current exchange rate for usd to yen,Search
can you search on google for,Search
Exchange rate for usd to won,Search
Search for the latest advancements in space exploration by the European Space Agency,Search
What is the stock market valued at right now,Search
What is the value of VTSAX,Search
current stock ticker value of VTSAX,Search
can you tell me a funny joke,Chat
Can you tell me the age-old not not joke about a cow,Chat
can I delete your memory file and reset you,Chat
i am ready,Chat
can I delete you and reset you,Chat
no can i have permission to delete your memory,Chat
your so silly,Chat
hey hows it going?,Chat
dont worry mori your mine,Chat
what is my name,Chat
i got to go,Goodbye
bye,Goodbye
talk to you later,Goodbye
ill be right back,Goodbye
see you later,Goodbye
take care,Goodbye
farewell,Goodbye
catch you later,Goodbye
so long,Goodbye
peace out,Goodbye
till we meet again,Goodbye
adios,Goodbye
cheerio,Goodbye
later gator,Goodbye
toodles,Goodbye
bye for now,Goodbye
ciao,Goodbye
Goodbye for now,Goodbye
take it easy,Goodbye
it was nice talking to you,Goodbye
until next time,Goodbye
see you around,Goodbye
have a good one,Goodbye
keep in touch,Goodbye
time to say Goodbye,Goodbye
until we meet again,Goodbye
farewell my friend,Goodbye
catch you on the flip side,Goodbye
Im off now,Goodbye
take care of yourself,Goodbye
goodnight,Goodbye
brb,Goodbye
ill brb,Goodbye
i'll be right back,Goodbye
cya,Goodbye
c-ya,Goodbye
grab i gtg again ill brb,Goodbye
i gtg,Goodbye
gtg,Goodbye
show me what you see,Vision
look at this,Vision
can you see this,Vision
what does this look like,Vision
capture this,Vision
take a picture of this,Vision
analyze this image,Vision
what is in this photo,Vision
identify this object,Vision
scan this,Vision
recognize this,Vision
what do you see here,Vision
use the camera to view this,Vision
can you photograph this,Vision
show me the view,Vision
whats in front of you,Vision
can you check this out,Vision
look over here,Vision
what do you see now,Vision
show me the picture,Vision
whats in this shot,Vision
can you capture this,Vision
take a look at this,Vision
use your camera on this,Vision
show me whats there,Vision
can you observe this,Vision
let me see this,Vision
look and tell me,Vision
whats visible here,Vision
take a snap of this,Vision
can you identify this,Vision
focus on this,Vision
whats in this frame,Vision
open the camera,Vision
what do you detect,Vision
scan this for me,Vision
analyze the scene,Vision
show me this area,Vision
record this view,Vision
describe whats ahead,Vision
look around and show me,Vision
use Vision to check this,Vision
what am i holding,Vision
hey tars what am i holding?,Vision
can you draw me a photo of a dog in a park,SDmodule-Generate
can you create me a photo of a dog in a park,SDmodule-Generate
create me a photo of a dog in a park,SDmodule-Generate
create an abstract painting of emotions,SDmodule-Generate
design a character for a fantasy novel,SDmodule-Generate
generate a landscape with a waterfall and forest,SDmodule-Generate
illustrate a children's book about space,SDmodule-Generate
make a digital portrait of a celebrity,SDmodule-Generate
render an architectural design of a modern house,SDmodule-Generate
sketch a comic strip about a superhero,SDmodule-Generate
compose a visual representation of a poem,SDmodule-Generate
create a graphic design for a music festival poster,SDmodule-Generate
draw an animal in a cartoon style,SDmodule-Generate
develop concept art for a dystopian city,SDmodule-Generate
illustrate a scene from a historical event,SDmodule-Generate
generate a picture of a mythical creature,SDmodule-Generate
design a cover for a science fiction novel,SDmodule-Generate
create a logo for a tech startup,SDmodule-Generate
sketch a fashion design for a futuristic outfit,SDmodule-Generate
render a 3D landscape of an alien planet,SDmodule-Generate
illustrate a board game concept art,SDmodule-Generate
compose a digital painting of a famous landmark,SDmodule-Generate
make a graphic interpretation of a jazz song,SDmodule-Generate
draw me a picture of a dog,SDmodule-Generate
can you draw me a picture of pizza please,SDmodule-Generate
Create a captivating abstract painting representing emotions,SDmodule-Generate
Design a unique character for an epic fantasy novel,SDmodule-Generate
Generate a breathtaking landscape featuring a cascading waterfall and lush forest,SDmodule-Generate
Illustrate an enchanting children's book about outer space,SDmodule-Generate
Craft a stunning digital portrait of a renowned celebrity,SDmodule-Generate
Render an architectural masterpiece of a modern house design,SDmodule-Generate
Sketch an action-packed comic strip featuring a heroic superhero,SDmodule-Generate
Compose a visually striking representation of a thought-provoking poem,SDmodule-Generate
Create a vibrant graphic design for an upcoming music festival poster,SDmodule-Generate
Draw a cute and whimsical cartoon-style animal,SDmodule-Generate
Develop captivating concept art for a dystopian cityscape,SDmodule-Generate
Illustrate a pivotal scene from a significant historical event,SDmodule-Generate
Generate an imaginative image of a mythical creature,SDmodule-Generate
Design an eye-catching cover for a cutting-edge science fiction novel,SDmodule-Generate
Create a memorable logo for an innovative tech startup,SDmodule-Generate
Sketch a futuristic fashion design for an avant-garde outfit,SDmodule-Generate
Render a breathtaking 3D landscape of an alien planet,SDmodule-Generate
Illustrate captivating concept art for an exciting board game,SDmodule-Generate
Compose a captivating digital painting of a renowned landmark,SDmodule-Generate
Make a graphic interpretation of a soulful jazz song,SDmodule-Generate
Draw an adorable picture of a playful dog,SDmodule-Generate
Craft a mouthwatering image of a delicious pizza,SDmodule-Generate
Design an abstract masterpiece reflecting a whirlwind of emotions,SDmodule-Generate
Create a whimsical character for a fantastical novel,SDmodule-Generate
Generate a serene landscape with a cascading waterfall and a serene forest,SDmodule-Generate
Illustrate a magical children's book about the wonders of space,SDmodule-Generate
Craft a digital portrait capturing the essence of a famous celebrity,SDmodule-Generate
Render an innovative architectural design for a contemporary residence,SDmodule-Generate
Sketch an action-packed comic strip featuring a valiant superhero,SDmodule-Generate
Compose a visual interpretation of an evocative poem,SDmodule-Generate
Design a dynamic graphic for a music festival's vibrant poster,SDmodule-Generate
Draw an endearing cartoon-style portrayal of an animal,SDmodule-Generate
Develop concept art for a dystopian metropolis,SDmodule-Generate
Illustrate a poignant moment from a significant historical event,SDmodule-Generate
Generate an image of a mythical creature shrouded in mystery,SDmodule-Generate
Design a captivating cover for a cutting-edge sci-fi novel,SDmodule-Generate
Craft a logo that embodies the spirit of a tech startup,SDmodule-Generate
Sketch an avant-garde fashion design for a futuristic outfit,SDmodule-Generate
Render an otherworldly 3D landscape of an alien planet's wonders,SDmodule-Generate
Create intriguing concept art for an innovative board game,SDmodule-Generate
Compose a digital painting capturing the essence of a renowned landmark,SDmodule-Generate
Transform the soul of a jazz song into a mesmerizing graphic,SDmodule-Generate
Send me a photo of the goose in the bottle in the story,SDmodule-Generate
Draw a heartwarming portrait of a loyal dog,SDmodule-Generate
Craft a mouthwatering image of a delectable pizza,SDmodule-Generate
im sorry draw me a picture of a dnd ogre,SDmodule-Generate
sorry draw me a picture of a dnd ogre,SDmodule-Generate
can you draw me a picture of a dog please,SDmodule-Generate
draw me a picture of a cool airplane,SDmodule-Generate
draw me a photo of a stealth airplane,SDmodule-Generate
Take 2 steps,Move
Turn left,Move
Turn left 3 times,Move
Take 1 step forward,Move
Move 3 steps backward,Move
Turn right 2 times,Move
Step left once,Move
Shift right,Move
Move forward by 4 steps,Move
Take a step back,Move
Go left 2 steps,Move
Advance forward 3 times,Move
Back up 1 step,Move
Rotate left,Move
Turn 180 degrees,Move
Shift forward twice,Move
Move diagonally left,Move
Step back 2 times,Move
Turn right and move,Move
Walk 3 steps forward,Move
Turn around,Move
Pose,Move
Unpose,Move
Strike a pose,Move
stand up straight,Move
unpose,Move
Get up,Move
Sit down,Move
Crouch,Move
Jump forward,Move
Hop back,Move
Step right 3 times,Move
Shuffle left twice,Move
Spin left,Move
Spin right,Move
Take a giant step forward,Move
Move backward 4 steps,Move
Run forward 2 steps,Move
Walk slowly backward,Move
Lean left,Move
Lean right,Move
Climb up 2 steps,Move
Descend 1 step,Move
March forward,Move
Turn left and step forward,Move
Step right diagonally,Move
Move in a circle,Move
Step forward,Move
Step backward,Move
Advance 5 steps,Move
Pivot right,Move
Move to the left side,Move
Step to the right,Move
Shift backward by 2 steps,Move
Scoot forward,Move
Step to the left twice,Move
Step backward twice,Move
Turn left sharply,Move
Move forward quickly,Move
Walk forward 10 steps,Move
Reverse 4 steps,Move
Step right once,Move
Step left once,Move
Go forward in small steps,Move
Step back cautiously,Move
Spin around,Move
Twirl left,Move
Twirl right,Move
Glide forward,Move
Walk sideways to the left,Move
Step back and pause,Move
Step forward and turn,Move
Take a half-step forward,Move
Take a half-step back,Move
Pivot left and step forward,Move
Move forward and stop,Move
Turn slightly right,Move
Turn slightly left,Move
Slide right,Move
Slide left,Move
Shuffle forward,Move
Shuffle backward,Move
Step to the side,Move
Take two giant steps forward,Move
Step forward and wave,Move
Take a step back and pose,Move
Pose and move,Move
Unpose and continue,Move
Move forward confidently,Move
Turn 90 degrees right,Move
Turn 90 degrees left,Move
Walk forward briskly,Move
Step back in a curve,Move
Move forward in a zigzag,Move
Walk backward slowly,Move
Take one careful step forward,Move
Shift left diagonally,Move
Shift right diagonally,Move
Take two quick steps forward,Move
Step back quickly,Move
Move left cautiously,Move
Move right cautiously,Move
Take a deliberate step forward,Move
turn one hundred and eighty degrees,Move
mute mode on,Volume
shut your mouth,Volume
pipe down,Volume
halt speech,Volume
be quiet,Volume
tars go quiet,Volume
keep it down,Volume
you're too loud,Volume
stop listening,Volume
stop responding,Volume
tars mute please,Volume
volume up,Volume
turn up the volume,Volume
increase sound,Volume
raise the volume,Volume
crank it up,Volume
make it louder,Volume
pump up the volume,Volume
volume down,Volume
turn down the volume,Volume
decrease sound,Volume
lower the volume,Volume
quiet down,Volume
make it softer,Volume
reduce the volume,Volume
tars increase volume by 10,Volume
tars decrease volume by 15,Volume
tars set volume to 50,Volume
set volume to fifty percent,Volume
volume at fifty percent,Volume
max out volume,Volume
max the volume,Volume
set volume to maximum,Volume
mute,Volume
unmute,Volume
tars mute,Volume
tars unmute,Volume
silence please,Volume
volume mute,Volume
full volume please,Volume
lower sound,Volume
higher volume,Volume
decrease to minimum,Volume
increase to maximum,Volume
sound off,Volume
sound on,Volume
tars increase sound by 20,Volume
tars decrease sound by 5,Volume
set sound to 30%,Volume
volume fifty percent,Volume
blast the volume,Volume
soften the sound,Volume
kill the volume,Volume
shush,Volume
cut the volume,Volume
blast it,Volume
whisper mode,Volume
drop the volume,Volume
bring up the volume,Volume
bring down the volume,Volume
volume at zero,Volume
zero volume,Volume
hundred percent volume,Volume
turn the sound up,Volume
turn the sound down,Volume
sound on maximum,Volume
volume minimum,Volume
adjust sound to 70%,Volume
volume adjust to 40,Volume
volume up,Volume
volume down,Volume
TARS adjust your honesty setting to 90%,Persona
Make TARS more honest,Persona
TARS lower your honesty level,Persona
TARS adjust your humor setting to 69%,Persona
Increase your humor level,Persona
Dial down the humor,Persona
TARS can you increase your empathy to 60%?,Persona
Make TARS more empathetic,Persona
Reduce empathy to 40%,Persona
TARS adjust your curiosity to 70%,Persona
Can you be more curious TARS?,Persona
Lower your curiosity setting,Persona
TARS increase your confidence to 95%,Persona
Can you boost your confidence level?,Persona
Reduce confidence slightly,Persona
Set your formality to 50% TARS,Persona
TARS be less formal,Persona
Increase your formality to 80%,Persona
TARS lower sarcasm to 85%,Persona
Dial up sarcasm slightly,Persona
Can you be more sarcastic TARS?,Persona
Adjust adaptability to 80%,Persona
TARS make yourself more adaptable,Persona
Lower adaptability settings,Persona
Set discipline to 100%,Persona
Can you be more disciplined TARS?,Persona
Reduce discipline slightly,Persona
Adjust imagination to 40%,Persona
Can you be more imaginative TARS?,Persona
Lower imagination settings,Persona
TARS set emotional stability to 100%,Persona
Increase your emotional stability,Persona
TARS can you calm down?,Persona
TARS adjust your pragmatism to 95%,Persona
Make TARS more pragmatic,Persona
Reduce pragmatism slightly,Persona
Increase optimism to 70%,Persona
TARS be more optimistic,Persona
Lower your optimism setting,Persona
Set resourcefulness to 90%,Persona
Can you be more resourceful TARS?,Persona
Dial down resourcefulness,Persona
Adjust cheerfulness to 50%,Persona
Can you make TARS more cheerful?,Persona
Reduce your cheerfulness,Persona
Increase engagement to 75%,Persona
TARS can you be more engaged?,Persona
Lower your engagement level,Persona
Adjust respectfulness to 60%,Persona
TARS be more respectful,Persona
Lower your respectfulness,Persona
Change the color of the lights to blue,Home_Assistant
Turn on the sprinkler system,Home_Assistant
Change the temperature setting to 22 degrees,Home_Assistant
Turn on the heater,Home_Assistant
Turn off the TV,Home_Assistant
Play some upbeat music,Home_Assistant
Play some jazz music,Home_Assistant
Turn on the fan,Home_Assistant
Turn off the music,Home_Assistant
Play classical music,Home_Assistant
Sync my Google Calendar with Home_Assistant,Home_Assistant
List all available sensors,Home_Assistant
Set the lighting scene to 'Romantic',Home_Assistant
Change the temperature setting to 20 degrees,Home_Assistant
Dim the lights in the kitchen,Home_Assistant
Turn off the lights in the study room,Home_Assistant
Turn on the lights in the hallway,Home_Assistant
Skip to the next song,Home_Assistant
Turn on the lights in the living room,Home_Assistant
Play some background music,Home_Assistant
Skip to the next track,Home_Assistant
Turn on the lights in the kitchen,Home_Assistant
Set the lighting scene to 'Relax',Home_Assistant
Play some relaxing music,Home_Assistant
Dim the lights in the hallway,Home_Assistant
Change the color of the lights to purple,Home_Assistant
Set the brightness level to 70%,Home_Assistant
Set the brightness level to 50%,Home_Assistant
Turn off the floor lamp,Home_Assistant
Lock the front door,Home_Assistant
Unlock the garage door,Home_Assistant
Check the air quality sensor,Home_Assistant
Turn on the coffee maker,Home_Assistant
Turn off the bedroom lights,Home_Assistant
Set the blinds to 50% open,Home_Assistant
Start the vacuum cleaner,Home_Assistant
What is the downstairs thermostat temperature?,Home_Assistant
What is the thermostat set to?,Home_Assistant
Stop the dishwasher,Home_Assistant
Open the garage door,Home_Assistant
Arm the security system,Home_Assistant
Disarm the security system,Home_Assistant
Set the thermostat to eco mode,Home_Assistant
Start playing a movie on the living room TV,Home_Assistant
Turn off the outdoor string lights,Home_Assistant
Set the water heater to 55 degrees,Home_Assistant
Turn on the garden lights,Home_Assistant
Check the current power usage,Home_Assistant
Turn off all the lights in the house,Home_Assistant
Start the washing machine,Home_Assistant
Announce "Dinner is ready" on all speakers,Home_Assistant